loss,mae,mse,val_loss,val_mae,val_mse,lr
0.12142763286828995,0.12142763286828995,0.0414578840136528,0.10305117070674896,0.10305117070674896,0.011253735981881618,0.001
0.032687123864889145,0.032687123864889145,0.00265661533921957,0.02925925701856613,0.02925925701856613,0.0010247568134218454,0.001
0.012414103373885155,0.012414103373885155,0.0004052403673995286,0.005938964430242777,0.005938964430242777,8.014497143449262e-05,0.001
0.009983360767364502,0.009983360767364502,0.00027446739841252565,0.009592000395059586,0.009592000395059586,0.00014841070515103638,0.001
0.009617788717150688,0.009617788717150688,0.0002709395776037127,0.007187719456851482,0.007187719456851482,0.00010156693315366283,0.001
0.00961143895983696,0.00961143895983696,0.0002716467424761504,0.006251853425055742,0.006251853425055742,8.67563285282813e-05,0.001
0.00893512275069952,0.00893512275069952,0.00026273372350260615,0.005829476285725832,0.005829476285725832,8.010637247934937e-05,0.00020000001
0.00893392413854599,0.00893392413854599,0.0002606431080494076,0.00578400120139122,0.00578400120139122,7.776042184559628e-05,0.00020000001
0.008973265066742897,0.008973265066742897,0.0002606071066111326,0.005842383019626141,0.005842383019626141,8.034696656977758e-05,0.00020000001
0.008934441953897476,0.008934441953897476,0.00026000276557169855,0.005971524864435196,0.005971524864435196,8.261293260147795e-05,0.00020000001
0.008884199894964695,0.008884199894964695,0.00026002671802416444,0.00575529970228672,0.00575529970228672,7.854231080273166e-05,4.0000003e-05
0.008807748556137085,0.008807748556137085,0.0002591037191450596,0.00576181011274457,0.00576181011274457,7.803558401064947e-05,4.0000003e-05
0.008819520473480225,0.008819520473480225,0.0002594630350358784,0.005777291487902403,0.005777291487902403,7.924406236270443e-05,4.0000003e-05
0.008819753304123878,0.008819753304123878,0.00025916993035934865,0.0057654534466564655,0.0057654534466564655,7.785813068039715e-05,8.000001e-06
0.008791365660727024,0.008791365660727024,0.00025890112738125026,0.005765425506979227,0.005765425506979227,7.78574394644238e-05,8.000001e-06
